VM ID,Actual CPU,Length,Input Size,Output Size,End Time
2,0.99,886,255,489,8.68
3,0.22,179,706,97,8.68
5,0.77,723,206,673,8.68
6,0.99,981,678,107,8.68
20,0.66,585,66,744,8.68
23,0.11,25,589,662,8.68
7,0.88,846,259,746,8.79
8,0.77,730,440,214,8.79
9,0.77,744,376,287,8.79
12,0.44,373,720,266,8.79
23,0.11,106,226,184,8.79
5,0.22,170,299,157,8.9
16,0.88,864,220,27,8.9
20,0.22,151,10,635,8.9
21,0.99,884,185,16,8.9
1,0.33,287,594,637,9.01
4,0.88,850,376,365,9.01
11,0.88,822,61,718,9.01
14,0.99,942,699,523,9.01
18,0.44,368,276,686,9.01
19,0.44,376,91,634,9.01
20,0.11,66,215,182,9.01
12,0.33,282,395,714,9.12
13,0.77,764,184,362,9.12
17,0.66,626,31,133,9.12
18,0.11,94,439,575,9.12
19,0.11,32,485,39,9.12
22,0.55,445,562,410,9.12
24,0.55,534,692,421,9.12
0,0.77,674,690,676,9.23
2,0.55,441,152,95,9.23
3,0.55,520,511,263,9.23
5,0.33,280,137,172,9.23
6,0.55,466,104,587,9.23
15,0.77,766,717,479,9.23
21,0.33,246,68,54,9.23
2,0.11,110,180,414,9.34
8,0.55,490,186,423,9.34
16,0.44,378,156,134,9.34
18,0.22,150,366,121,9.34
22,0.22,207,290,410,9.34
0,0.22,187,701,185,9.45
16,0.11,77,556,458,9.45
17,0.33,304,105,395,9.45
0,0.11,73,317,328,9.56
1,0.55,494,544,709,9.56
10,1.1,993,419,31,9.56
13,0.44,404,107,515,9.56
14,0.55,462,636,591,9.56
20,0.55,450,63,458,9.56
4,0.66,600,217,537,9.67
6,0.44,337,737,601,9.67
7,0.88,841,698,591,9.67
9,0.99,901,192,198,9.78
19,0.66,644,440,573,9.78
23,0.99,921,389,276,9.78
3,0.66,592,52,384,9.89
4,0.22,137,571,490,9.89
5,0.66,660,96,242,9.89
6,0.22,141,202,74,9.89
8,0.55,498,642,416,9.89
10,0.33,302,62,713,9.89
1,0.44,417,742,469,10
8,0.11,93,610,507,10
11,0.99,902,228,196,10
12,0.88,854,555,407,10
14,0.44,392,62,694,10
15,0.77,691,608,5,10
16,0.55,464,258,232,10
20,0.44,371,509,508,10
22,0.66,645,131,545,10
5,0.22,142,575,625,10.11
23,0.33,288,31,391,10.11
24,0.99,894,371,511,10.11
12,0.22,178,184,452,10.22
17,0.77,672,230,678,10.22
18,0.88,878,675,214,10.22
21,0.99,958,59,571,10.22
2,0.99,972,679,331,10.33
11,0.33,330,165,477,10.33
14,0.33,275,214,125,10.33
16,0.33,271,89,358,10.33
21,0.11,43,32,537,10.33
0,0.88,776,128,247,10.44
7,0.77,663,359,43,10.44
17,0.22,134,436,489,10.44
18,0.22,136,592,286,10.44
3,0.66,593,626,305,10.55
7,0.11,83,721,14,10.55
13,0.99,939,720,113,10.55
1,0.66,553,725,270,10.66
9,0.88,771,395,231,10.66
14,0.33,324,484,265,10.66
15,0.66,588,643,290,10.66
18,0.22,149,158,486,10.66
19,0.88,872,410,630,10.66
20,0.66,601,698,224,10.66
22,0.66,553,289,94,10.66
3,0.22,116,687,373,10.77
4,0.88,817,622,358,10.77
6,0.88,866,425,452,10.77
9,0.11,1,279,350,10.77
10,0.88,853,220,166,10.77
11,0.44,410,311,1,10.77
14,0.11,27,701,316,10.77
21,0.44,437,580,228,10.77
24,0.66,603,491,470,10.77
5,0.77,744,201,106,10.88
7,0.33,301,384,513,10.88
8,0.88,839,120,227,10.88
10,0.11,80,491,16,10.88
17,0.44,423,695,717,10.88
22,0.22,123,477,605,10.88
14,0.22,133,566,434,10.99
22,0.22,121,403,567,11.1
23,0.99,980,106,129,11.1
0,0.77,765,722,39,11.21
3,0.44,356,646,24,11.21
12,0.99,904,459,636,11.21
15,0.55,500,151,597,11.21
22,0.11,49,21,694,11.21
2,0.99,969,297,601,11.32
3,0.11,78,585,388,11.32
13,0.77,763,68,678,11.32
16,0.99,968,468,573,11.32
19,0.66,606,527,288,11.32
2,0.11,104,529,341,11.43
6,0.66,569,261,121,11.43
12,0.22,213,85,91,11.43
16,0.11,55,174,252,11.43
18,0.77,734,493,708,11.43
20,0.77,740,101,170,11.43
5,0.66,598,563,314,11.54
8,0.66,651,553,172,11.54
11,0.77,683,452,619,11.54
20,0.11,48,369,122,11.54
22,0.33,318,674,507,11.54
1,0.99,967,44,23,11.65
7,0.77,744,430,266,11.65
15,0.44,434,37,207,11.65
20,0.11,80,154,35,11.65
1,0.11,38,435,607,11.76
3,0.44,421,731,29,11.76
5,0.22,140,430,182,11.76
19,0.44,369,36,383,11.76
21,0.99,946,283,150,11.76
24,0.99,893,139,172,11.76
2,0.44,357,652,712,11.87
4,1.1,995,11,506,11.87
9,1.1,992,587,236,11.87
10,0.99,928,647,655,11.87
17,0.99,921,224,365,11.87
3,0.22,218,102,598,11.98
6,0.55,530,318,301,11.98
7,0.33,278,103,618,11.98
12,0.55,549,191,350,11.98
14,0.99,971,540,331,11.98
0,0.88,864,245,21,12.09
5,0.33,281,335,474,12.09
7,0.11,8,305,39,12.09
8,0.55,452,239,550,12.09
22,0.55,491,516,748,12.09
23,0.99,946,259,414,12.09
3,0.22,181,289,743,12.2
6,0.22,215,350,210,12.2
8,0.11,2,347,616,12.2
11,0.66,561,492,742,12.2
20,0.55,524,171,560,12.2
0,0.22,167,621,611,12.31
2,0.44,435,160,2,12.31
4,0.44,427,711,725,12.31
13,0.99,888,186,633,12.31
18,0.88,788,2,580,12.31
21,0.55,484,332,414,12.31
1,0.66,569,440,303,12.42
3,0.22,126,251,271,12.42
15,0.77,719,411,6,12.42
16,0.99,882,579,564,12.42
17,0.55,523,241,343,12.42
19,0.66,560,695,245,12.42
3,0.11,42,104,715,12.53
8,0.33,291,441,44,12.53
18,0.22,178,572,478,12.53
24,0.77,753,215,563,12.53
15,0.22,136,307,725,12.64
17,0.22,127,539,266,12.64
0,0.44,363,19,655,12.75
2,0.44,389,372,569,12.75
4,0.44,383,288,285,12.75
9,0.88,816,529,327,12.75
11,0.55,477,708,76,12.75
19,0.33,313,548,383,12.75
21,0.44,399,271,556,12.75
22,0.66,621,3,426,12.75
3,0.33,284,41,298,12.86
4,0.11,29,139,586,12.86
10,0.99,977,639,104,12.86
12,0.88,841,294,49,12.86
14,0.88,867,183,377,12.86
20,0.66,586,707,384,12.86
5,0.88,849,643,325,12.97
8,0.44,344,510,696,12.97
11,0.22,194,211,421,12.97
21,0.22,169,580,437,12.97
7,0.99,947,732,526,13.08
16,0.66,660,80,478,13.08
23,0.99,938,681,253,13.08
5,0.22,177,633,621,13.19
6,0.99,938,557,138,13.19
11,0.22,218,280,184,13.19
12,0.33,286,311,733,13.19
13,0.88,861,493,180,13.19
1,0.88,848,163,18,13.3
15,0.66,634,357,281,13.3
22,0.55,543,312,113,13.3
24,0.77,746,517,310,13.3
0,0.66,647,335,460,13.41
8,0.44,362,338,748,13.41
17,0.77,698,642,66,13.41
21,0.44,406,422,197,13.41
1,0.22,149,455,658,13.52
9,0.77,765,574,291,13.52
12,0.33,316,302,734,13.52
16,0.44,409,241,233,13.52
22,0.22,191,407,323,13.52
24,0.22,172,154,327,13.52
3,0.77,669,378,133,13.63
4,0.77,716,336,244,13.63
10,0.77,682,681,78,13.63
18,1.1,992,325,457,13.63
24,0.11,45,288,250,13.63
2,0.99,958,110,341,13.74
6,0.55,501,194,497,13.74
7,0.66,643,423,28,13.74
13,0.55,484,523,696,13.74
0,0.44,440,401,205,13.85
10,0.22,153,25,3,13.85
13,0.11,14,475,546,13.85
14,0.99,958,543,113,13.85
16,0.33,314,669,549,13.85
17,0.44,348,292,557,13.85
19,1.1,997,356,80,13.85
